id	filename	md5	size	state
098f61ae-a7f9-42d4-9e02-7a035c498d32	098f61ae-a7f9-42d4-9e02-7a035c498d32/5984a42d-b905-4011-9192-0a5ecb1f3d55.htseq.counts.gz	89d51476df3d6fd887f7258d2db29b88	248989	validated
0aae20cd-2601-4c12-a00f-d5f8bad66be5	0aae20cd-2601-4c12-a00f-d5f8bad66be5/ee00edb2-f47a-4d1b-a2e7-3441cfdb29f6.htseq.counts.gz	544b0ce1b965828b0adcf46322d6f6ef	250278	validated
10e8e323-cf3b-434c-859a-204b536c5458	10e8e323-cf3b-434c-859a-204b536c5458/cdf70ab5-380d-406c-a268-242754315005.htseq.counts.gz	ccce567c974f1dbea5ed97e6b4db1d72	251176	validated
23c768dc-75f5-4afb-af7d-8233bf239420	23c768dc-75f5-4afb-af7d-8233bf239420/6d9c73d6-215a-49f9-bc9f-af019f8db55c.htseq.counts.gz	2e01b356ceb2cec92729fa91bc093bd5	251809	validated
443cdf70-d729-4765-b4e8-bc97f8721d85	443cdf70-d729-4765-b4e8-bc97f8721d85/768336ab-12f0-4494-b280-f2137bfd2087.htseq.counts.gz	64c698b898cd6d2ccd3255d3ffdd1ebd	255122	validated
56273b12-98f3-46f7-a450-5cfddfe91375	56273b12-98f3-46f7-a450-5cfddfe91375/885d0d86-4c31-4594-954d-f331edcd4879.htseq.counts.gz	32bb83098278acbc6dfc78a89662f59d	251685	validated
67dd02e1-e8cc-4934-aced-7f79d66b632b	67dd02e1-e8cc-4934-aced-7f79d66b632b/0d56836d-6eb4-4736-9ad0-3c1139302043.htseq.counts.gz	d3ce271702ac8f61f972f0ffb6b8ad6d	245062	validated
8e10f12e-c1cb-4882-9d24-a4932f017131	8e10f12e-c1cb-4882-9d24-a4932f017131/eaf69a94-f9b7-4177-b5eb-aa16cf102b96.htseq.counts.gz	dac7e274e11808140f45ed342ff96aa1	243584	validated
983cb886-0581-4ccd-a0da-2097ac697c0d	983cb886-0581-4ccd-a0da-2097ac697c0d/7444bf59-9dfd-4037-b405-c9e45d78b445.htseq.counts.gz	2b6b426be16dfcdc33b9c90089458a06	248111	validated
a0449ff1-fdc5-44b0-8a9e-db35d1d8dabc	a0449ff1-fdc5-44b0-8a9e-db35d1d8dabc/418dd9f0-a87c-402e-8101-2c769e383cc5.htseq.counts.gz	a84059e2127276664c8abd3df6f21430	252094	validated
a97bc32d-8586-46a1-8ddf-0c06549a7f9a	a97bc32d-8586-46a1-8ddf-0c06549a7f9a/2d6c4037-7086-4f1e-9f78-2ea24994242a.htseq.counts.gz	05aecdef7bfc2560183acd2f45f2b8f5	245934	validated
b6e7f6bf-82aa-4ec6-ba72-5071e5462973	b6e7f6bf-82aa-4ec6-ba72-5071e5462973/4dd0dd22-b6aa-432b-ace6-841d0c6e83b9.htseq.counts.gz	444d47140af7e308479b5b85b5223dd9	250213	validated
b9775e38-4fc0-4df8-982b-a964985ff6d9	b9775e38-4fc0-4df8-982b-a964985ff6d9/a1a54782-6381-47b2-8817-603bef36900c.htseq.counts.gz	1ff346356f18faafb43b2106d9f98317	252721	validated
bf307194-093f-4fb0-867c-7db696aca1e8	bf307194-093f-4fb0-867c-7db696aca1e8/5845a5be-e598-4b7e-8abb-960620c2b47b.htseq.counts.gz	bfc088ee2efa25b91b4fd14358c12d35	258817	validated
c5959596-de4f-4466-980d-d8973ca7e3da	c5959596-de4f-4466-980d-d8973ca7e3da/c1317d94-8e44-4426-9185-c0af48d12447.htseq.counts.gz	a17e6f2eb2e56f1aafbeaac2daec5062	244444	validated
da12a8b9-2009-415f-842b-2d2c5ce2a976	da12a8b9-2009-415f-842b-2d2c5ce2a976/8502070e-8dde-4cd4-94e7-4eb06ec37d2f.htseq.counts.gz	91e6240217f033a494ac5660a420c293	259301	validated
e0825761-9c42-4124-ad42-1d4f3ceb1c8a	e0825761-9c42-4124-ad42-1d4f3ceb1c8a/d4f8de85-7b19-4790-8409-7b8ccfcd8573.htseq.counts.gz	78beea075c5a9e9eb5b169d7591c2665	249379	validated
e21a363b-8c5c-4d38-8422-a0ca06a0ad53	e21a363b-8c5c-4d38-8422-a0ca06a0ad53/d343cdfd-2955-485a-a47f-ca2f2401056e.htseq.counts.gz	6b9fd219fc9457952c6d9fc5f9eaa70d	252608	validated
e98bffb9-fc9e-43ec-9b06-194066be54d4	e98bffb9-fc9e-43ec-9b06-194066be54d4/39b59f6d-b1ff-4c27-989f-c30e539b8a40.htseq.counts.gz	ede7c5dd34462ac4153ec78b4b545f64	251396	validated
f18a2319-a107-496e-89eb-c24a09d96bb9	f18a2319-a107-496e-89eb-c24a09d96bb9/ed7ec605-bddd-4838-8842-55bac2a35395.htseq.counts.gz	a00295e8852b04a1086aa8b8d9e3ea6c	251270	validated
